trial_id,status,sensor_type,modulation,frequency_hz,actual_frequency_hz,lux,lighting_source,visibility_condition,scenario,distance_cm,angle_deg,bits_transmitted,bits_scored,bit_errors,active_start_s,active_end_s,capture_file,decode_log_file,total_events,raw_duration_s,active_duration_s,event_rate_per_s,max_event_gap_ms,long_event_gap_count,long_event_gap_fraction,notes
s33_evk4_ook_300hz_lux81_shielded_t1,ready,EVK4,OOK,300,303.1509736581805,81,artificial_room,low_lux_shielded_receiver,shielded_receiver_low_ambient,50,0,748,748,12,2.35,12.35,captures/3.3/s33_ook_300hz_50cm_shadow_lux81/partial_shadow t1.raw,data/3.1/replication/s33_ook_300hz_50cm_shadow_lux81_decode_summary.csv,73946186,13.64792,10,7394618.6,,,,"Binder shield around event camera reduced room light reaching the receiver; LED path was not intentionally partially blocked."
s33_evk4_ook_300hz_lux81_shielded_t2,ready,EVK4,OOK,300,303.1364328328828,81,artificial_room,low_lux_shielded_receiver,shielded_receiver_low_ambient,50,0,748,748,50,2.6,12.6,captures/3.3/s33_ook_300hz_50cm_shadow_lux81/partial_shadow t2.raw,data/3.1/replication/s33_ook_300hz_50cm_shadow_lux81_decode_summary.csv,73905594,13.127868,10,7390559.4,,,,"Binder shield around event camera reduced room light reaching the receiver; LED path was not intentionally partially blocked."
s33_evk4_ook_300hz_lux81_shielded_t3,ready,EVK4,OOK,300,303.14807880103746,81,artificial_room,low_lux_shielded_receiver,shielded_receiver_low_ambient,50,0,748,748,0,2.75,12.75,captures/3.3/s33_ook_300hz_50cm_shadow_lux81/partial_shadow t3.raw,data/3.1/replication/s33_ook_300hz_50cm_shadow_lux81_decode_summary.csv,73920838,13.487889,10,7392083.8,,,,"Binder shield around event camera reduced room light reaching the receiver; LED path was not intentionally partially blocked."
s33_evk4_ook_300hz_lux500_shadow_t1,ready,EVK4,OOK,300,303.12994161665614,500,artificial_room,partial_shadow,partial_led_block,50,0,748,748,73,2.6,12.6,captures/3.3/s33_ook_300hz_50cm_partial_led_block_lux500/partial_led_block_t1.raw,data/3.1/replication/s33_ook_300hz_50cm_partial_led_block_lux500_decode_summary.csv,83166148,13.511967,10,8316614.8,,,,"True partial-shadow trial: object partially blocked the LED transmitter as seen by the event camera."
s33_evk4_ook_300hz_lux500_shadow_t2,ready,EVK4,OOK,300,303.13381784914094,500,artificial_room,partial_shadow,partial_led_block,50,0,748,748,115,2.4,12.2,captures/3.3/s33_ook_300hz_50cm_partial_led_block_lux500/partial_led_block_t2.raw,data/3.1/replication/s33_ook_300hz_50cm_partial_led_block_lux500_decode_summary.csv,83168025,12.947995,9.8,8486533.163265307,,,,"True partial-shadow trial: object partially blocked the LED transmitter as seen by the event camera."
s33_evk4_ook_300hz_lux500_shadow_t3,ready,EVK4,OOK,300,303.175382597493,500,artificial_room,partial_shadow,stronger_partial_led_block,50,0,748,748,0,2.55,12.55,captures/3.3/s33_ook_300hz_50cm_partial_led_block_lux500/partial_led_block_t3.raw,data/3.1/replication/s33_ook_300hz_50cm_partial_led_block_lux500_decode_summary.csv,16970580,13.631952,10,1697058.0,,,,"True partial-shadow trial with slightly stronger LED-path occlusion than t1/t2."
s33_evk4_ook_300hz_lux500_shadow_t4,ready,EVK4,OOK,300,303.1801294830386,500,artificial_room,partial_shadow,stronger_partial_led_block,50,0,748,748,0,2.65,12.65,captures/3.3/s33_ook_300hz_50cm_partial_led_block_lux500/partial_led_block_t4.raw,data/3.1/replication/s33_ook_300hz_50cm_partial_led_block_lux500_decode_summary.csv,16977208,13.519906,10,1697720.8,,,,"True partial-shadow trial with slightly stronger LED-path occlusion than t1/t2."
s33_evk4_ook_300hz_lux500_reflection_t1,planned,EVK4,OOK,300,,500,artificial_room,reflection,reflected_path,50,0,748,748,,,,,,,,,,,,"Planned reflected-path trial with direct LOS blocked."
s33_evk4_ook_300hz_lux500_reflection_t2,planned,EVK4,OOK,300,,500,artificial_room,reflection,reflected_path,50,0,748,748,,,,,,,,,,,,"Planned reflected-path trial with direct LOS blocked."
s33_evk4_ook_300hz_lux500_reflection_t3,planned,EVK4,OOK,300,,500,artificial_room,reflection,reflected_path,50,0,748,748,,,,,,,,,,,,"Planned reflected-path trial with direct LOS blocked."
s33_evk4_ook_300hz_natural_los_t1,planned,EVK4,OOK,300,,500,natural_window,LOS,natural_light_los,50,0,748,748,,,,,,,,,,,,"Planned natural-light LOS trial; replace lux with measured value."
s33_evk4_ook_300hz_natural_los_t2,planned,EVK4,OOK,300,,500,natural_window,LOS,natural_light_los,50,0,748,748,,,,,,,,,,,,"Planned natural-light LOS trial; replace lux with measured value."
s33_evk4_ook_300hz_natural_los_t3,planned,EVK4,OOK,300,,500,natural_window,LOS,natural_light_los,50,0,748,748,,,,,,,,,,,,"Planned natural-light LOS trial; replace lux with measured value."
